Passenger_ID,Estimated_Travel_Budget_USD,Budget_Category,Income_Level,Age,Travel_Purpose
P1543,1040.0,Budget,Low,78,Leisure
P1544,2500.0,Standard,Medium,36,Family
P1545,2600.0,Standard,Medium,49,Leisure
P1546,2600.0,Standard,Medium,21,Leisure
P1547,800.0,Budget,Low,71,Leisure
P1548,1040.0,Budget,Low,72,Leisure
P1549,1300.0,Budget,Low,25,Family
P1550,,Luxury,Low,67,Emergency
P1551,2300.0,Standard,Low,79,Business
P1552,10500.0,Luxury,High,39,Business
P1553,2000.0,Standard,Medium,24,Leisure
P1554,4100.0,Luxury,Medium,67,Family
P1555,2540.0,Standard,Low,31,Business
P1556,,Luxury,Medium,67,Emergency
P1557,3500.0,Luxury,Medium,73,Business
P1558,3100.0,Standard,Medium,74,Family
P1559,9000.0,Luxury,High,53,Leisure
P1560,3500.0,Luxury,Medium,34,Business
P1561,9500.0,Luxury,High,19,Family
P1562,2540.0,Standard,Low,18,Business
P1563,1300.0,Budget,Low,55,Family
P1564,,Luxury,Medium,63,Emergency
P1565,2300.0,Standard,Low,45,Business
P1566,1300.0,Budget,Low,61,Family
P1567,,Luxury,Medium,74,Emergency
P1568,,Luxury,Low,73,Emergency
P1569,800.0,Budget,Low,55,Leisure
P1570,1440.0,Budget,Low,77,Leisure
P1571,2000.0,Standard,Medium,77,Leisure
P1572,5500.0,Luxury,High,71,Family
P1573,2600.0,Standard,Medium,77,Leisure
P1574,5500.0,Luxury,Medium,46,Family
P1575,13000.0,Luxury,High,75,Family
P1576,,Luxury,Medium,29,Emergency
P1577,,Luxury,High,54,Emergency
P1578,7000.0,Luxury,High,26,Family
P1579,,Luxury,Medium,20,Emergency
P1580,5500.0,Luxury,High,39,Family
P1581,2000.0,Standard,Medium,59,Leisure
P1582,5100.0,Luxury,Medium,30,Business
P1583,5000.0,Luxury,High,63,Leisure
P1584,5100.0,Luxury,Medium,20,Business
P1585,,Luxury,Medium,58,Emergency
P1586,4100.0,Luxury,Medium,25,Family
P1587,2300.0,Standard,Low,66,Business
P1588,,Luxury,Medium,30,Emergency
P1589,2000.0,Standard,Medium,41,Leisure
P1590,,Luxury,Medium,61,Emergency
P1591,,Luxury,Medium,62,Emergency
P1592,9500.0,Luxury,High,62,Family
P1593,1300.0,Budget,Low,48,Family
P1594,6500.0,Luxury,High,67,Business
P1595,5100.0,Luxury,Medium,79,Business
P1596,9500.0,Luxury,High,57,Family
P1597,,Luxury,Medium,73,Emergency
P1598,,Luxury,Medium,75,Emergency
P1599,,Luxury,Low,24,Emergency
P1600,1300.0,Budget,Low,36,Family
P1601,3500.0,Luxury,Medium,70,Business
P1602,,Luxury,Low,60,Emergency
P1603,2300.0,Standard,Low,18,Business
P1604,2540.0,Standard,Low,74,Business
P1605,6500.0,Luxury,High,69,Business
P1606,2500.0,Standard,Medium,45,Family
P1607,5000.0,Luxury,Medium,59,Leisure
P1608,1300.0,Budget,Low,29,Family
P1609,,Luxury,Medium,40,Emergency
P1610,4100.0,Luxury,Medium,41,Family
P1611,2500.0,Standard,Medium,51,Family
P1612,1540.0,Standard,Low,62,Family
P1613,,Luxury,High,34,Emergency
P1614,3100.0,Standard,Medium,22,Family
P1615,5000.0,Luxury,High,26,Leisure
P1616,14000.0,Luxury,High,68,Business
P1617,,Luxury,High,45,Emergency
P1618,,Luxury,High,20,Emergency
P1619,2000.0,Standard,Medium,27,Leisure
P1620,800.0,Budget,Low,45,Leisure
P1621,,Luxury,Low,73,Emergency
P1622,2000.0,Standard,Medium,76,Leisure
P1623,7000.0,Luxury,High,37,Family
P1624,2000.0,Standard,Medium,41,Leisure
P1625,6500.0,Luxury,High,45,Business
P1626,,Luxury,Medium,37,Emergency
P1627,3500.0,Luxury,Medium,67,Business
P1628,2300.0,Standard,Low,22,Business
P1629,1540.0,Standard,Low,26,Family
P1630,800.0,Budget,Low,59,Leisure
P1631,5500.0,Luxury,High,56,Family
P1632,1300.0,Budget,Low,47,Family
P1633,6500.0,Luxury,High,18,Business
P1634,3100.0,Standard,Medium,56,Family
P1635,800.0,Budget,Low,44,Leisure
P1636,800.0,Budget,Low,26,Leisure
P1637,3500.0,Luxury,Low,23,Business
P1638,1040.0,Budget,Low,30,Leisure
P1639,,Luxury,Low,77,Emergency
P1640,,Luxury,Medium,65,Emergency
P1641,,Luxury,Medium,61,Emergency
P1642,1300.0,Budget,Low,63,Family
P1643,,Luxury,Medium,39,Emergency
P1644,5000.0,Luxury,Medium,32,Leisure
P1645,2000.0,Standard,Medium,33,Leisure
P1646,,Luxury,Low,59,Emergency
P1647,2600.0,Standard,Medium,38,Leisure
P1648,3500.0,Luxury,Medium,45,Business
P1649,5100.0,Luxury,Medium,42,Business
P1650,,Luxury,Medium,72,Emergency
P1651,3500.0,Luxury,Medium,76,Business
P1652,5000.0,Luxury,High,25,Leisure
P1653,3500.0,Luxury,Medium,56,Business
P1654,6500.0,Luxury,High,34,Business
P1655,3600.0,Luxury,Medium,51,Leisure
P1656,2500.0,Standard,Medium,75,Family
P1657,1300.0,Budget,Low,36,Family
P1658,3100.0,Standard,Medium,18,Family
P1659,,Luxury,Low,19,Emergency
P1660,3500.0,Luxury,Medium,39,Business
P1661,3500.0,Luxury,Medium,62,Business
P1662,1940.0,Standard,Low,73,Family
P1663,,Luxury,Medium,64,Emergency
P1664,,Luxury,Medium,71,Emergency
P1665,2300.0,Standard,Low,22,Business
P1666,4100.0,Luxury,Medium,26,Family
P1667,6500.0,Luxury,High,24,Business
P1668,3500.0,Luxury,Medium,66,Business
P1669,2500.0,Standard,Medium,55,Family
P1670,2000.0,Standard,Medium,24,Leisure
P1671,,Luxury,Low,77,Emergency
P1672,1300.0,Budget,Low,39,Family
P1673,3500.0,Luxury,Medium,32,Business
P1674,2500.0,Standard,Medium,59,Family
P1675,2500.0,Standard,Medium,50,Family
P1676,2500.0,Standard,Medium,65,Family
P1677,6500.0,Luxury,High,19,Business
P1678,2300.0,Standard,Low,45,Business
P1679,4100.0,Luxury,Medium,61,Business
P1680,2000.0,Standard,Medium,21,Leisure
P1681,,Luxury,Medium,41,Emergency
P1682,2000.0,Standard,Medium,44,Leisure
P1683,2500.0,Standard,Medium,55,Family
P1684,3100.0,Standard,Medium,53,Family
P1685,2300.0,Standard,Low,40,Business
P1686,1940.0,Standard,Low,47,Family
P1687,,Luxury,Medium,69,Emergency
P1688,,Luxury,Medium,43,Emergency
P1689,1300.0,Budget,Low,71,Family
P1690,4100.0,Luxury,Medium,59,Business
P1691,2500.0,Standard,Medium,43,Family
P1692,2500.0,Standard,Medium,61,Family
P1693,,Luxury,Medium,25,Emergency
P1694,3500.0,Luxury,Medium,58,Business
P1695,2500.0,Standard,Medium,77,Family
P1696,5100.0,Luxury,Medium,51,Business
P1697,,Luxury,Low,41,Emergency
P1698,3100.0,Standard,Medium,30,Family
P1699,3500.0,Luxury,Medium,31,Business
P1700,800.0,Budget,Low,26,Leisure
P1701,6500.0,Luxury,High,59,Business
P1702,5000.0,Luxury,High,55,Leisure
P1703,,Luxury,Medium,59,Emergency
P1704,,Luxury,High,47,Emergency
P1705,5500.0,Luxury,High,70,Family
P1706,2540.0,Standard,Low,23,Business
P1707,1040.0,Budget,Low,49,Leisure
P1708,,Luxury,Medium,53,Emergency
P1709,2000.0,Standard,Medium,48,Leisure
P1710,2300.0,Standard,Low,18,Business
P1711,6500.0,Luxury,High,44,Business
P1712,800.0,Budget,Low,69,Leisure
P1713,5500.0,Luxury,High,21,Family
P1714,,Luxury,Medium,43,Emergency
P1715,,Luxury,Medium,62,Emergency
P1716,1440.0,Budget,Low,42,Leisure
P1717,8000.0,Luxury,High,41,Business
P1718,2540.0,Standard,Low,39,Business
P1719,,Luxury,Low,26,Emergency
P1720,1300.0,Budget,Low,40,Family
P1721,1440.0,Budget,Low,20,Leisure
P1722,3500.0,Luxury,Medium,61,Business
P1723,1040.0,Budget,Low,79,Leisure
P1724,3500.0,Luxury,Medium,25,Business
P1725,3600.0,Luxury,Medium,77,Leisure
P1726,3500.0,Luxury,Medium,51,Business
P1727,800.0,Budget,Low,71,Leisure
P1728,800.0,Budget,Low,62,Leisure
P1729,6500.0,Luxury,High,59,Leisure
P1730,5000.0,Luxury,High,67,Leisure
P1731,,Luxury,Low,40,Emergency
P1732,,Luxury,High,50,Emergency
P1733,2000.0,Standard,Medium,45,Leisure
P1734,4100.0,Luxury,Medium,58,Family
P1735,,Luxury,Medium,30,Emergency
P1736,2500.0,Standard,Medium,57,Family
P1737,9500.0,Luxury,High,67,Family
P1738,,Luxury,Low,75,Emergency
P1739,1300.0,Budget,Low,40,Family
P1740,3500.0,Luxury,Medium,69,Business
P1741,2500.0,Standard,Medium,43,Family
P1742,1300.0,Budget,Low,42,Family
P1743,1040.0,Budget,Low,34,Leisure
P1744,2300.0,Standard,Low,52,Business
P1745,6500.0,Luxury,High,40,Leisure
P1746,2300.0,Standard,Low,22,Business
P1747,3500.0,Luxury,Medium,51,Business
P1748,2500.0,Standard,Medium,62,Family
P1749,3600.0,Luxury,Medium,67,Leisure
P1750,3500.0,Luxury,Medium,58,Business
P1751,2300.0,Standard,Low,75,Business
P1752,5100.0,Luxury,Medium,34,Business
P1753,8000.0,Luxury,High,33,Business
P1754,3100.0,Standard,Medium,26,Family
P1755,3500.0,Luxury,Medium,25,Business
P1756,,Luxury,High,79,Emergency
P1757,5100.0,Luxury,Medium,44,Business
P1758,,Luxury,Medium,79,Emergency
P1759,3500.0,Luxury,Medium,30,Business
P1760,2300.0,Standard,Low,34,Business
P1761,1300.0,Budget,Low,38,Family
P1762,3600.0,Luxury,Medium,28,Leisure
P1763,,Luxury,Medium,49,Emergency
P1764,13000.0,Luxury,High,54,Family
P1765,4100.0,Luxury,Medium,69,Business
P1766,4100.0,Luxury,Medium,73,Business
P1767,2000.0,Standard,Medium,59,Leisure
P1768,3500.0,Luxury,Low,79,Business
P1769,2600.0,Standard,Medium,50,Leisure
P1770,3100.0,Standard,Medium,30,Family
P1771,1940.0,Standard,Low,28,Family
P1772,2000.0,Standard,Medium,29,Leisure
P1773,1300.0,Budget,Low,79,Family
P1774,6500.0,Luxury,High,41,Business
P1775,,Luxury,Medium,60,Emergency
P1776,3500.0,Luxury,Medium,31,Business
P1777,2000.0,Standard,Medium,19,Leisure
P1778,5500.0,Luxury,High,45,Family
P1779,3500.0,Luxury,Medium,76,Business
P1780,13000.0,Luxury,High,73,Family
P1781,5000.0,Luxury,High,28,Leisure
P1782,2000.0,Standard,Medium,65,Leisure
P1783,1540.0,Standard,Low,55,Family
P1784,,Luxury,Medium,20,Emergency
P1785,2500.0,Standard,Medium,72,Family
P1786,800.0,Budget,Low,35,Leisure
P1787,6500.0,Luxury,High,53,Business
P1788,2600.0,Standard,Medium,73,Leisure
P1789,4100.0,Luxury,Medium,37,Business
P1790,,Luxury,High,59,Emergency
P1791,,Luxury,Medium,18,Emergency
P1792,5000.0,Luxury,High,59,Leisure
P1793,4100.0,Luxury,Medium,23,Family
P1794,5500.0,Luxury,High,21,Family
P1795,,Luxury,Medium,56,Emergency
P1796,2000.0,Standard,Medium,72,Leisure
P1797,2000.0,Standard,Medium,19,Leisure
P1798,1940.0,Standard,Low,55,Family
P1799,,Luxury,Low,45,Emergency
P1800,5000.0,Luxury,High,23,Leisure
P1801,,Luxury,Low,62,Emergency
P1802,2600.0,Standard,Medium,76,Leisure
P1803,,Luxury,Medium,61,Emergency
P1804,2000.0,Standard,Medium,42,Leisure
P1805,800.0,Budget,Low,35,Leisure
P1806,,Luxury,High,28,Emergency
P1807,7000.0,Luxury,High,77,Family
P1808,1940.0,Standard,Low,68,Family
P1809,,Luxury,Medium,27,Emergency
P1810,800.0,Budget,Low,21,Leisure
P1811,,Luxury,High,69,Emergency
P1812,800.0,Budget,Low,43,Leisure
P1813,1300.0,Budget,Low,39,Family
P1814,2000.0,Standard,Medium,70,Leisure
P1815,7000.0,Luxury,High,76,Family
P1816,2000.0,Standard,Medium,47,Leisure
P1817,800.0,Budget,Low,27,Leisure
P1818,1440.0,Budget,Low,46,Leisure
P1819,1300.0,Budget,Low,20,Family
P1820,2300.0,Standard,Low,68,Business
P1821,,Luxury,High,54,Emergency
P1822,3500.0,Luxury,Medium,73,Business
P1823,6500.0,Luxury,High,58,Leisure
P1824,,Luxury,Medium,37,Emergency
P1825,5100.0,Luxury,Medium,38,Business
P1826,2300.0,Standard,Low,58,Business
P1827,,Luxury,Medium,18,Emergency
P1828,,Luxury,Low,73,Emergency
P1829,2500.0,Standard,Medium,61,Family
P1830,5000.0,Luxury,High,44,Leisure
P1831,5500.0,Luxury,High,63,Family
P1832,,Luxury,Medium,25,Emergency
P1833,,Luxury,Medium,68,Emergency
P1834,5500.0,Luxury,Medium,36,Family
P1835,2500.0,Standard,Medium,32,Family
P1836,2540.0,Standard,Low,69,Business
P1837,5500.0,Luxury,High,59,Family
P1838,2000.0,Standard,Medium,32,Leisure
P1839,2000.0,Standard,Medium,41,Leisure
P1840,,Luxury,Medium,30,Emergency
P1841,,Luxury,Medium,73,Emergency
P1842,,Luxury,Low,20,Emergency
P1843,4100.0,Luxury,Medium,51,Family
P1844,,Luxury,Low,72,Emergency
P1845,,Luxury,Medium,62,Emergency
P1846,2000.0,Standard,Medium,39,Leisure
P1847,5000.0,Luxury,High,68,Leisure
P1848,2540.0,Standard,Low,73,Business
P1849,5500.0,Luxury,High,42,Family
P1850,3500.0,Luxury,Medium,62,Business
P1851,,Luxury,Medium,37,Emergency
P1852,,Luxury,Medium,78,Emergency
P1853,1540.0,Standard,Low,73,Family
P1854,2600.0,Standard,Medium,66,Leisure
P1855,2000.0,Standard,Medium,75,Leisure
P1856,4100.0,Luxury,Medium,73,Family
P1857,2300.0,Standard,Low,37,Business
P1858,,Luxury,Medium,27,Emergency
P1859,3500.0,Luxury,Medium,53,Business
P1860,,Luxury,Medium,70,Emergency
P1861,1540.0,Standard,Low,50,Family
P1862,2300.0,Standard,Low,32,Business
P1863,800.0,Budget,Low,39,Leisure
P1864,3500.0,Luxury,Medium,33,Business
P1865,8000.0,Luxury,High,75,Business
P1866,,Luxury,Medium,61,Emergency
P1867,3500.0,Luxury,Medium,51,Business
P1868,1300.0,Budget,Low,60,Family
P1869,3500.0,Luxury,Medium,42,Business
P1870,3100.0,Standard,Medium,55,Family
P1871,,Luxury,Low,56,Emergency
P1872,,Luxury,Low,22,Emergency
P1873,2000.0,Standard,Medium,64,Leisure
P1874,5100.0,Luxury,Medium,47,Business
P1875,3500.0,Luxury,Medium,78,Business
P1876,,Luxury,High,51,Emergency
P1877,,Luxury,Low,60,Emergency
P1878,3500.0,Luxury,Low,27,Business
P1879,3500.0,Luxury,Medium,29,Business
P1880,,Luxury,Low,57,Emergency
P1881,5500.0,Luxury,High,78,Family
P1882,,Luxury,Medium,72,Emergency
P1883,3100.0,Standard,Medium,69,Family
P1884,2540.0,Standard,Low,26,Business
P1885,4100.0,Luxury,Medium,44,Business
P1886,2000.0,Standard,Medium,56,Leisure
P1887,1300.0,Budget,Low,72,Family
P1888,1540.0,Standard,Low,30,Family
P1889,2000.0,Standard,Medium,69,Leisure
P1890,2500.0,Standard,Medium,56,Family
P1891,2000.0,Standard,Medium,74,Leisure
P1892,3100.0,Standard,Medium,26,Family
P1893,3100.0,Standard,Medium,19,Family
P1894,,Luxury,High,29,Emergency
P1895,2500.0,Standard,Medium,36,Family
P1896,3600.0,Luxury,Medium,33,Leisure
P1897,1300.0,Budget,Low,46,Family
P1898,3500.0,Luxury,Medium,50,Business
P1899,,Luxury,Low,26,Emergency
P1900,3500.0,Luxury,Medium,52,Business
P1901,3500.0,Luxury,Medium,36,Business
P1902,6500.0,Luxury,High,74,Business
P1903,,Luxury,Low,18,Emergency
P1904,5000.0,Luxury,High,25,Leisure
P1905,1300.0,Budget,Low,45,Family
P1906,,Luxury,High,20,Emergency
P1907,5100.0,Luxury,Medium,50,Business
P1908,,Luxury,Medium,56,Emergency
P1909,,Luxury,Medium,24,Emergency
P1910,3600.0,Luxury,Medium,68,Leisure
P1911,3600.0,Luxury,Medium,78,Leisure
P1912,2500.0,Standard,Medium,58,Family
P1913,,Luxury,High,39,Emergency
P1914,800.0,Budget,Low,18,Leisure
P1915,3500.0,Luxury,Medium,27,Business
P1916,5500.0,Luxury,Medium,40,Family
P1917,5000.0,Luxury,High,65,Leisure
P1918,,Luxury,High,20,Emergency
P1919,10500.0,Luxury,High,50,Business
P1920,,Luxury,Low,70,Emergency
P1921,2940.0,Standard,Low,73,Business
P1922,4100.0,Luxury,Medium,40,Family
P1923,2500.0,Standard,Medium,27,Family
P1924,,Luxury,Medium,24,Emergency
P1925,3500.0,Luxury,Medium,59,Business
P1926,2940.0,Standard,Low,64,Business
P1927,2500.0,Standard,Medium,52,Family
P1928,10500.0,Luxury,High,30,Business
P1929,1300.0,Budget,Low,23,Family
P1930,800.0,Budget,Low,57,Leisure
P1931,2000.0,Standard,Medium,18,Leisure
P1932,2500.0,Standard,Medium,27,Family
P1933,1300.0,Budget,Low,53,Family
P1934,,Luxury,High,51,Emergency
P1935,2500.0,Standard,Medium,31,Family
P1936,4100.0,Luxury,Medium,79,Business
P1937,5500.0,Luxury,Medium,52,Family
P1938,2000.0,Standard,Medium,32,Leisure
P1939,,Luxury,Low,65,Emergency
P1940,,Luxury,Medium,19,Emergency
P1941,5500.0,Luxury,High,51,Family
P1942,5000.0,Luxury,High,73,Leisure
P1943,2300.0,Standard,Low,23,Business
P1944,2500.0,Standard,Medium,69,Family
P1945,,Luxury,High,24,Emergency
P1946,5100.0,Luxury,Medium,47,Business
P1947,800.0,Budget,Low,52,Leisure
P1948,2500.0,Standard,Medium,72,Family
P1949,,Luxury,Medium,60,Emergency
P1950,,Luxury,High,70,Emergency
P1951,3500.0,Luxury,Medium,62,Business
P1952,2600.0,Standard,Medium,22,Leisure
P1953,2500.0,Standard,Medium,45,Family
P1954,5500.0,Luxury,High,22,Family
P1955,8000.0,Luxury,High,43,Business
P1956,2540.0,Standard,Low,43,Business
P1957,6500.0,Luxury,High,29,Business
P1958,2000.0,Standard,Medium,22,Leisure
P1959,,Luxury,High,75,Emergency
P1960,800.0,Budget,Low,18,Leisure
P1961,,Luxury,High,64,Emergency
P1962,6500.0,Luxury,High,53,Leisure
P1963,,Luxury,Low,48,Emergency
P1964,5100.0,Luxury,Medium,79,Business
P1965,,Luxury,Medium,63,Emergency
P1966,3500.0,Luxury,Medium,30,Business
P1967,3600.0,Luxury,Medium,61,Leisure
P1968,2300.0,Standard,Low,78,Business
P1969,3500.0,Luxury,Medium,49,Business
P1970,3100.0,Standard,Medium,27,Family
P1971,,Luxury,Low,30,Emergency
P1972,800.0,Budget,Low,33,Leisure
P1973,5000.0,Luxury,High,57,Leisure
P1974,3100.0,Standard,Medium,77,Family
P1975,,Luxury,Medium,70,Emergency
P1976,3500.0,Luxury,Medium,73,Business
P1977,2000.0,Standard,Medium,59,Leisure
P1978,3500.0,Luxury,Medium,39,Business
P1979,5100.0,Luxury,Medium,48,Business
P1980,,Luxury,Medium,18,Emergency
P1981,3100.0,Standard,Medium,66,Family
P1982,,Luxury,Medium,46,Emergency
P1983,2600.0,Standard,Medium,65,Leisure
P1984,3600.0,Luxury,Medium,69,Leisure
P1985,8000.0,Luxury,High,46,Business
P1986,,Luxury,Low,43,Emergency
P1987,5100.0,Luxury,Medium,27,Business
P1988,12500.0,Luxury,High,74,Leisure
P1989,9500.0,Luxury,High,62,Family
P1990,2300.0,Standard,Low,75,Business
P1991,1300.0,Budget,Low,65,Family
P1992,,Luxury,Low,49,Emergency
P1993,,Luxury,Medium,72,Emergency
P1994,2000.0,Standard,Medium,20,Leisure
P1995,1300.0,Budget,Low,34,Family
P1996,2500.0,Standard,Medium,68,Family
P1997,5100.0,Luxury,Medium,29,Business
P1998,1300.0,Budget,Low,23,Family
P1999,1540.0,Standard,Low,58,Family
P2000,2000.0,Standard,Low,57,Leisure
P2001,,Luxury,High,73,Emergency
P2002,,Luxury,High,66,Emergency
P2003,,Luxury,Medium,27,Emergency
P2004,5500.0,Luxury,High,24,Family
P2005,5000.0,Luxury,High,72,Leisure
P2006,800.0,Budget,Low,34,Leisure
P2007,,Luxury,Low,66,Emergency
P2008,2500.0,Standard,Medium,39,Family
P2009,2600.0,Standard,Medium,36,Leisure
P2010,3100.0,Standard,Medium,43,Family
P2011,10500.0,Luxury,High,34,Business
P2012,1440.0,Budget,Low,34,Leisure
P2013,2000.0,Standard,Medium,33,Leisure
P2014,2540.0,Standard,Low,67,Business
P2015,,Luxury,Medium,29,Emergency
P2016,1040.0,Budget,Low,43,Leisure
P2017,3500.0,Luxury,Low,77,Business
P2018,6500.0,Luxury,Medium,62,Business
P2019,6500.0,Luxury,High,75,Business
P2020,2500.0,Standard,Medium,57,Family
P2021,2600.0,Standard,Medium,39,Leisure
P2022,,Luxury,Medium,74,Emergency
P2023,2500.0,Standard,Medium,66,Family
P2024,3500.0,Luxury,Medium,56,Business
P2025,,Luxury,High,40,Emergency
P2026,3500.0,Luxury,Medium,50,Business
P2027,,Luxury,Medium,18,Emergency
P2028,,Luxury,Medium,61,Emergency
P2029,2000.0,Standard,Medium,50,Leisure
P2030,7000.0,Luxury,High,76,Family
P2031,,Luxury,High,74,Emergency
P2032,5500.0,Luxury,High,73,Family
P2033,2500.0,Standard,Medium,77,Family
P2034,,Luxury,Medium,79,Emergency
P2035,1300.0,Budget,Low,75,Family
P2036,2300.0,Standard,Low,46,Business
P2037,1940.0,Standard,Low,24,Family
P2038,5500.0,Luxury,High,45,Family
P2039,,Luxury,Medium,76,Emergency
P2040,2540.0,Standard,Low,31,Business
P2041,8000.0,Luxury,High,49,Business
P2042,2300.0,Standard,Low,18,Business
P2043,2300.0,Standard,Low,76,Business
P2044,1540.0,Standard,Low,56,Family
P2045,,Luxury,Medium,27,Emergency
P2046,2500.0,Standard,Medium,49,Family
P2047,1300.0,Budget,Low,79,Family
P2048,,Luxury,Medium,63,Emergency
P2049,2300.0,Standard,Low,50,Business
P2050,3100.0,Standard,Medium,41,Family
P2051,5000.0,Luxury,High,77,Leisure
P2052,6500.0,Luxury,High,79,Leisure
P2053,3500.0,Luxury,Medium,38,Business
P2054,2000.0,Standard,Medium,73,Leisure
P2055,,Luxury,Medium,34,Emergency
P2056,6500.0,Luxury,High,30,Leisure
P2057,,Luxury,Medium,41,Emergency
P2058,,Luxury,High,43,Emergency
P2059,2600.0,Standard,Medium,51,Leisure
P2060,1940.0,Standard,Low,50,Family
P2061,1040.0,Budget,Low,73,Leisure
P2062,8000.0,Luxury,High,61,Business
P2063,2000.0,Standard,Medium,44,Leisure
P2064,2000.0,Standard,Medium,71,Leisure
P2065,,Luxury,Medium,68,Emergency
P2066,4100.0,Luxury,Medium,79,Family
P2067,5000.0,Luxury,High,27,Leisure
P2068,2500.0,Standard,Medium,33,Family
P2069,,Luxury,High,65,Emergency
P2070,,Luxury,Low,23,Emergency
P2071,2600.0,Standard,Medium,77,Leisure
P2072,2540.0,Standard,Low,54,Business
P2073,800.0,Budget,Low,23,Leisure
P2074,1300.0,Budget,Low,46,Family
P2075,2000.0,Standard,Medium,53,Leisure
P2076,3100.0,Standard,Medium,31,Family
P2077,3100.0,Standard,Medium,75,Family
P2078,3500.0,Luxury,Medium,60,Business
P2079,2000.0,Standard,Medium,67,Leisure
P2080,4100.0,Luxury,Medium,50,Business
P2081,,Luxury,Medium,78,Emergency
P2082,2600.0,Standard,Medium,71,Leisure
P2083,2000.0,Standard,Medium,62,Leisure
P2084,3600.0,Luxury,Medium,48,Leisure
P2085,5000.0,Luxury,High,67,Leisure
P2086,5500.0,Luxury,High,70,Family
P2087,4100.0,Luxury,Medium,44,Family
P2088,4100.0,Luxury,Medium,50,Business
P2089,3500.0,Luxury,Medium,35,Business
P2090,9000.0,Luxury,High,22,Leisure
P2091,2500.0,Standard,Medium,50,Family
P2092,3500.0,Luxury,Medium,62,Business
P2093,,Luxury,Low,31,Emergency
P2094,,Luxury,Medium,72,Emergency
P2095,2500.0,Standard,Medium,73,Family
P2096,1300.0,Budget,Low,26,Family
P2097,8000.0,Luxury,High,65,Business
P2098,5000.0,Luxury,High,45,Leisure
P2099,2000.0,Standard,Medium,41,Leisure
P2100,3500.0,Luxury,Low,18,Business
P2101,800.0,Budget,Low,23,Leisure
P2102,5000.0,Luxury,High,19,Leisure
P2103,2000.0,Standard,Medium,36,Leisure
P2104,,Luxury,Medium,48,Emergency
P2105,2000.0,Standard,Medium,21,Leisure
P2106,2000.0,Standard,Medium,38,Leisure
P2107,,Luxury,High,59,Emergency
P2108,,Luxury,High,45,Emergency
P2109,7000.0,Luxury,High,50,Family
P2110,2300.0,Standard,Low,36,Business
P2111,3500.0,Luxury,Medium,27,Business
P2112,800.0,Budget,Low,67,Leisure
P2113,6500.0,Luxury,High,59,Business
P2114,3500.0,Luxury,Medium,71,Business
P2115,8000.0,Luxury,High,61,Business
P2116,2000.0,Standard,Medium,40,Leisure
P2117,2940.0,Standard,Low,75,Business
P2118,,Luxury,Low,25,Emergency
P2119,800.0,Budget,Low,37,Leisure
P2120,1540.0,Standard,Low,49,Family
P2121,9500.0,Luxury,High,54,Family
P2122,,Luxury,Low,77,Emergency
P2123,2300.0,Standard,Low,63,Business
P2124,2300.0,Standard,Low,53,Business
P2125,,Luxury,Medium,51,Emergency
P2126,2000.0,Standard,Medium,49,Leisure
P2127,4100.0,Luxury,Medium,56,Family
P2128,1300.0,Budget,Low,19,Family
P2129,2000.0,Standard,Medium,41,Leisure
P2130,2500.0,Standard,Medium,28,Family
P2131,2300.0,Standard,Low,73,Business
P2132,2000.0,Standard,Medium,68,Leisure
P2133,12500.0,Luxury,High,40,Leisure
P2134,2500.0,Standard,Medium,52,Family
P2135,2500.0,Standard,Medium,37,Family
P2136,,Luxury,Medium,37,Emergency
P2137,,Luxury,Medium,44,Emergency
P2138,,Luxury,Low,76,Emergency
P2139,,Luxury,Low,45,Emergency
P2140,4100.0,Luxury,Medium,72,Family
P2141,800.0,Budget,Low,64,Leisure
P2142,2600.0,Standard,Medium,33,Leisure
P2143,2540.0,Standard,Low,67,Business
P2144,2540.0,Standard,Low,67,Business
P2145,2000.0,Standard,Medium,57,Leisure
P2146,,Luxury,Medium,72,Emergency
P2147,,Luxury,High,72,Emergency
P2148,5500.0,Luxury,High,76,Family
P2149,5000.0,Luxury,High,34,Leisure
P2150,2500.0,Standard,Medium,67,Family
P2151,,Luxury,High,38,Emergency
P2152,2500.0,Standard,Medium,40,Family
P2153,,Luxury,High,59,Emergency
P2154,800.0,Budget,Low,73,Leisure
P2155,,Luxury,Low,55,Emergency
P2156,,Luxury,Medium,67,Emergency
P2157,2000.0,Standard,Medium,56,Leisure
P2158,2500.0,Standard,Medium,72,Family
P2159,2000.0,Standard,Medium,48,Leisure
P2160,9500.0,Luxury,High,24,Family
P2161,,Luxury,High,27,Emergency
P2162,5000.0,Luxury,High,42,Leisure
P2163,3100.0,Standard,Medium,37,Family
P2164,2600.0,Standard,Medium,35,Leisure
P2165,,Luxury,Low,74,Emergency
P2166,,Luxury,High,42,Emergency
P2167,2500.0,Standard,Medium,26,Family
P2168,3100.0,Standard,Medium,45,Family
P2169,,Luxury,Low,53,Emergency
P2170,2000.0,Standard,Medium,57,Leisure
P2171,2500.0,Standard,Medium,25,Family
P2172,1040.0,Budget,Low,43,Leisure
P2173,6500.0,Luxury,High,78,Leisure
P2174,6500.0,Luxury,High,36,Leisure
P2175,1540.0,Standard,Low,39,Family
P2176,5100.0,Luxury,Medium,23,Business
P2177,5500.0,Luxury,High,21,Family
P2178,3500.0,Luxury,Low,61,Business
P2179,2300.0,Standard,Low,68,Business
P2180,5000.0,Luxury,High,40,Leisure
